38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2024,2024,2024
ACEH,301081.97,54.58,1643355.07
SUMATERA UTARA,419089.12,51.4,2154117.08
SUMATERA BARAT,296215.93,45.64,1352048.77
RIAU,57003.35,39.62,225836.5
JAMBI,64119.24,45.44,291367.31
SUMATERA SELATAN,521251.99,54.53,2842559.41
BENGKULU,56868.57,47.86,272177.1
LAMPUNG,531435.03,51.37,2729901.42
KEP. BANGKA BELITUNG,19078.1,39.65,75644.48
KEP. RIAU,118.56,29.96,355.2
DKI JAKARTA,513.27,14.79,759.31
JAWA BARAT,1470616.28,57.9,8514667.14
JAWA TENGAH,1551687.48,56.91,8830154.56
DI YOGYAKARTA,97467.3,46.61,454274.19
JAWA TIMUR,1616234.53,57.09,9226339.61
BANTEN,298835.05,51.01,1524347.86
BALI,107225.38,60.43,647966.26
NUSA TENGGARA BARAT,280026.66,51.9,1453450.83
NUSA TENGGARA TIMUR,167831.69,42.12,706906.05
KALIMANTAN BARAT,255109.12,31.36,799992.83
KALIMANTAN TENGAH,110804.62,34.13,378178.03
KALIMANTAN SELATAN,240644.42,40.7,979359.38
KALIMANTAN TIMUR,61939.27,37.02,229275
KALIMANTAN UTARA,9412.52,36.37,34234.37
SULAWESI UTARA,58875.23,45.06,265295.68
SULAWESI TENGAH,171786.2,44.23,759838.42
SULAWESI SELATAN,949778.54,50.5,4796679.57
SULAWESI TENGGARA,130308.14,42.44,552972.27
GORONTALO,46229.66,47.32,218781.2
SULAWESI BARAT,64187.41,50.33,323023.96
MALUKU,24043.19,37.12,89239.14
MALUKU UTARA,11732.75,32.48,38113.47
PAPUA BARAT,5145.63,41.51,21360.11
PAPUA BARAT DAYA,427.53,30.53,1305.12
PAPUA,1113.39,43.58,4852.26
PAPUA SELATAN,46736.31,45.7,213578.11
PAPUA TENGAH,1457.19,46.78,6816.72
PAPUA PEGUNUNGAN,26.68,42.48,113.33
INDONESIA,10046457.29,52.42,52659237.12
